FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),feat_Co,feat_Si,feat_Ni,feat_Re,feat_Fe,feat_Zr,feat_Ru,feat_Ti,feat_Ta,feat_Al,feat_W,feat_Mo,feat_V,feat_Cu,feat_Nb,feat_Hf,feat_Cr,feat_Mn,Target_Energy,Target_Risk,Target_Price
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,ANNEAL,other,,,7.2,717.0,,25.0,,,,,,,,,,0.24189646831156264,0.0,0.24189646831156264,0.0,0.16134494436381228,0.0,0.0,0.16134494436381228,0.0,0.03217223028543783,0.0,0.0,0.0,0.0,0.0,0.0,0.16134494436381228,0.0,256.68387247596723,0.27748674174271104,14.238655196359163
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,ANNEAL,FCC,,,7.6,487.0,,25.0,,,,,,201.0,,,,0.2631578947368421,0.0,0.2631578947368421,0.0,0.17552631578947367,0.0,0.0,0.08763157894736842,0.0,0.034999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.17552631578947367,0.0,231.38579342488535,0.2979419135880797,14.2913178453262
Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,ANNEAL,other,,,7.4,654.0,,25.0,,,,,,,,,,0.2499375156210947,0.0,0.2499375156210947,0.0,0.16670832291927018,0.0,0.0,0.16670832291927018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16670832291927018,0.0,257.6103511730277,0.28182049455168506,14.4442335915389
Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,ANNEAL,other,,,7.8,509.0,,25.0,,,,,,,,,,0.2727024815925825,0.0,0.2727024815925825,0.0,0.18189255522225253,0.0,0.0,0.09080992637032997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18189255522225253,0.0,231.9425946003501,0.30297005868753024,14.51381131314474
Al0.7 Co0.3 Cr1 Fe1 Ni1,FCC+BCC+B2,POWDER,other,,,6.8,624.0,C,25.0,2033.0,2635.0,8.0,,,,,,,0.075,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,232.6244319160984,0.23592134222900615,8.72403382653438
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,CAST,BCC,,,6.2,402.0,,25.0,,,,,,171.0,,,,0.18184296619411122,0.0,0.18184296619411122,0.0,0.18184296619411122,0.0,0.0,0.0,0.0,0.27262813522355506,0.0,0.0,0.0,0.0,0.0,0.0,0.18184296619411122,0.0,213.70767626313267,0.27951009969338386,11.357511961142485
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,CAST,BCC,,,5.6,487.0,,25.0,,,,,,152.0,,,,0.15384615384615388,0.0,0.15384615384615388,0.0,0.15384615384615388,0.0,0.0,0.0,0.0,0.3846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615388,0.0,212.3980232836025,0.25466686012768436,10.45346283841453
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,5.9,432.0,,25.0,,,,,,160.0,,,,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,213.02072149452437,0.2664790279865436,10.883309355092692
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,BCC,CAST,BCC,,,5.3,506.0,,25.0,,,,,,145.0,,,,0.14279588336192112,0.0,0.14279588336192112,0.0,0.14279588336192112,0.0,0.0,0.0,0.0,0.42881646655231564,0.0,0.0,0.0,0.0,0.0,0.0,0.14279588336192112,0.0,211.82689706988702,0.24383297850304606,10.059216300937369
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,395.0,,25.0,,,,,,184.0,,,,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,214.4657740453177,0.2938907067025828,11.88082435430201
