FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,BCC+Sec.,CAST,other,,,6.8,668,C,25,1959,3008,,11,,,,,
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,BCC+Sec.,CAST,other,,,7,747,C,25,2473,3170,,4,,,,,
Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,BCC+Sec.,CAST,other,,,7,,,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,520,C,25,1373,3531,,25,,184,,,
Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.3,270,,25,,,,,,,,,
Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7,801,,25,,,,,,,,,
Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,BCC+Sec.,CAST,other,,,7.2,741,,25,,,,,,,,,
Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,FCC+BCC+Sec.,CAST,other,200,,7.3,586,,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,796,,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,755,,25,,,,,,,,,
Al1 Co1 Cr1 Fe0.6 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,754,,25,,,,,,,,,
